year,region,gender,mortality
2005,Автономна Республіка Крим,Жінки,13.70481283024346
2006,Автономна Республіка Крим,Жінки,13.544923107117322
2007,Автономна Республіка Крим,Жінки,13.896397768106029
2008,Автономна Республіка Крим,Жінки,13.724635584670791
2009,Автономна Республіка Крим,Жінки,13.329808322850818
2010,Автономна Республіка Крим,Жінки,13.488561383411275
2011,Автономна Республіка Крим,Жінки,13.102006389197614
2012,Автономна Республіка Крим,Жінки,12.874640810363925
2013,Автономна Республіка Крим,Жінки,12.988901320417133
2014,Автономна Республіка Крим,Жінки,
2015,Автономна Республіка Крим,Жінки,
2016,Автономна Республіка Крим,Жінки,
2017,Автономна Республіка Крим,Жінки,
2018,Автономна Республіка Крим,Жінки,
2019,Автономна Республіка Крим,Жінки,
2020,Автономна Республіка Крим,Жінки,
2021,Автономна Республіка Крим,Жінки,
2005,Вінницька,Жінки,17.032373230387069
2006,Вінницька,Жінки,16.509515984593584
2007,Вінницька,Жінки,16.467919693938434
2008,Вінницька,Жінки,16.2313164503745
2009,Вінницька,Жінки,15.930671643538261
2010,Вінницька,Жінки,16.02542156949681
2011,Вінницька,Жінки,15.432855830020426
2012,Вінницька,Жінки,15.186813611623705
2013,Вінницька,Жінки,15.48268331446735
2014,Вінницька,Жінки,15.528872378769153
2015,Вінницька,Жінки,15.518251250743731
2016,Вінницька,Жінки,15.013045706564787
2017,Вінницька,Жінки,14.876817321797057
2018,Вінницька,Жінки,14.966146166948981
2019,Вінницька,Жінки,14.985551401891561
2020,Вінницька,Жінки,15.744378824361576
2021,Вінницька,Жінки,17.714191930078975
2005,Волинська,Жінки,13.383981951903126
2006,Волинська,Жінки,13.579625656499964
2007,Волинська,Жінки,13.284500930169905
2008,Волинська,Жінки,13.339991179568672
2009,Волинська,Жінки,13.234894778759289
2010,Волинська,Жінки,13.012480317256664
2011,Волинська,Жінки,12.626060071315544
2012,Волинська,Жінки,12.497972587561438
2013,Волинська,Жінки,12.495650478857229
2014,Волинська,Жінки,12.526491344340139
2015,Волинська,Жінки,12.2156145998145
2016,Волинська,Жінки,12.300404920161968
2017,Волинська,Жінки,12.576689912940425
2018,Волинська,Жінки,12.418282725768258
2019,Волинська,Жінки,12.072726205392277
2020,Волинська,Жінки,12.940108257837091
2021,Волинська,Жінки,14.501191182477326
2005,Дніпропетровська,Жінки,15.515777147558087
2006,Дніпропетровська,Жінки,15.272193133861103
2007,Дніпропетровська,Жінки,15.354088988384172
2008,Дніпропетровська,Жінки,15.675572485964441
2009,Дніпропетровська,Жінки,14.795794994233102
2010,Дніпропетровська,Жінки,15.100649961829903
2011,Дніпропетровська,Жінки,14.481083026274248
2012,Дніпропетровська,Жінки,14.373802067586272
2013,Дніпропетровська,Жінки,14.273048113858934
2014,Дніпропетровська,Жінки,14.832978500608684
2015,Дніпропетровська,Жінки,15.436739360899971
2016,Дніпропетровська,Жінки,15.287874229699971
2017,Дніпропетровська,Жінки,14.881360190006394
2018,Дніпропетровська,Жінки,15.246014850821723
2019,Дніпропетровська,Жінки,14.947096483556642
2020,Дніпропетровська,Жінки,16.380007829831658
2021,Дніпропетровська,Жінки,19.973490615314358
2005,Донецька,Жінки,15.511673314507867
2006,Донецька,Жінки,15.515916778481792
2007,Донецька,Жінки,15.659933694379687
2008,Донецька,Жінки,15.830762821553515
2009,Донецька,Жінки,15.241476003741532
2010,Донецька,Жінки,15.322351657175119
2011,Донецька,Жінки,14.85731225280078
2012,Донецька,Жінки,14.79149835881608
2013,Донецька,Жінки,14.601376953075818
2014,Донецька,Жінки,15.266678643516121
2015,Донецька,Жінки,8.7157315515377825
2016,Донецька,Жінки,8.1213178351302755
2017,Донецька,Жінки,8.2224318150353035
2018,Донецька,Жінки,8.859784957525175
2019,Донецька,Жінки,9.27452760521851
2020,Донецька,Жінки,8.48352723956132
2021,Донецька,Жінки,10.900214901608422
2005,Житомирська,Жінки,16.454439874920233
2006,Житомирська,Жінки,16.457589251364354
2007,Житомирська,Жінки,16.291576283441792
2008,Житомирська,Жінки,16.290810695339481
2009,Житомирська,Жінки,15.857378376981094
2010,Житомирська,Жінки,15.71454394273526
2011,Житомирська,Жінки,15.134982570691994
2012,Житомирська,Жінки,15.374963990061987
2013,Житомирська,Жінки,15.46060168132391
2014,Житомирська,Жінки,15.600743849138651
2015,Житомирська,Жінки,15.593699557329604
2016,Житомирська,Жінки,15.256559034299592
2017,Житомирська,Жінки,15.180331322128767
2018,Житомирська,Жінки,15.373016366634458
2019,Житомирська,Жінки,15.471781345636012
2020,Житомирська,Жінки,16.500888759514684
2021,Житомирська,Жінки,19.194639278557116
2005,Закарпатська,Жінки,11.9624884574515
2006,Закарпатська,Жінки,11.5920526683403
2007,Закарпатська,Жінки,11.922508344516173
2008,Закарпатська,Жінки,11.799688707516708
2009,Закарпатська,Жінки,11.479364843555352
2010,Закарпатська,Жінки,11.556023776275627
2011,Закарпатська,Жінки,11.167540873878195
2012,Закарпатська,Жінки,11.356851351434534
2013,Закарпатська,Жінки,11.25216830664845
2014,Закарпатська,Жінки,11.196843731606826
2015,Закарпатська,Жінки,11.770916212742517
2016,Закарпатська,Жінки,11.717266389777141
2017,Закарпатська,Жінки,11.53771290283523
2018,Закарпатська,Жінки,11.389214078253092
2019,Закарпатська,Жінки,11.549877403535941
2020,Закарпатська,Жінки,12.607823995516123
2021,Закарпатська,Жінки,14.066128872856648
2005,Запорізька,Жінки,14.71356519416446
2006,Запорізька,Жінки,14.637458393254635
2007,Запорізька,Жінки,14.648948414774511
2008,Запорізька,Жінки,14.614857468517252
2009,Запорізька,Жінки,14.253188624899835
2010,Запорізька,Жінки,14.566835261948366
2011,Запорізька,Жінки,13.906410115088939
2012,Запорізька,Жінки,13.749125158292474
2013,Запорізька,Жінки,13.861104497824831
2014,Запорізька,Жінки,14.591913509749014
2015,Запорізька,Жінки,15.028870400620461
2016,Запорізька,Жінки,14.889009772684789
2017,Запорізька,Жінки,14.799572800201535
2018,Запорізька,Жінки,15.003595435026268
2019,Запорізька,Жінки,15.271838729383017
2020,Запорізька,Жінки,16.065483977614814
2021,Запорізька,Жінки,20.700082946122571
2005,Івано-Франківська,Жінки,12.286486905800425
2006,Івано-Франківська,Жінки,12.053011410093134
2007,Івано-Франківська,Жінки,12.29781255173112
2008,Івано-Франківська,Жінки,12.263969963550659
2009,Івано-Франківська,Жінки,11.850161293862056
2010,Івано-Франківська,Жінки,12.014669503978135
2011,Івано-Франківська,Жінки,11.640583594438663
2012,Івано-Франківська,Жінки,11.65382402258804
2013,Івано-Франківська,Жінки,12.326305225018912
2014,Івано-Франківська,Жінки,12.263135982720314
2015,Івано-Франківська,Жінки,12.354838886965315
2016,Івано-Франківська,Жінки,12.015793757286465
2017,Івано-Франківська,Жінки,12.024638937070414
2018,Івано-Франківська,Жінки,12.175984519854639
2019,Івано-Франківська,Жінки,11.952042274585397
2020,Івано-Франківська,Жінки,13.253748766624511
2021,Івано-Франківська,Жінки,14.566665782230372
2005,Київська,Жінки,16.514032527258838
2006,Київська,Жінки,16.28447076790167
2007,Київська,Жінки,16.278399758460527
2008,Київська,Жінки,16.259091585778194
2009,Київська,Жінки,15.752381054932513
2010,Київська,Жінки,16.03888502781594
2011,Київська,Жінки,15.038197324831787
2012,Київська,Жінки,15.203374817452168
